synonym	compound name
ANTI NEOPASTONS	Anti Neoplastons
AP24534	ponatinib
ARIAD AP23573	Deforolimus
ARIMIDEX	Anastrozole
ARIMIDEX (ANASTROZOLE)	Anastrozole
ARMIDEX	Anastrozole
AROMASIN	Exemestane
AROMASIN (EXEMESTANE)	Exemestane
ARSENIC TNOXIDE	ARSENIC TRIOXIDE
ARSENIC TRIOXIDE	ARSENIC TRIOXIDE
AS601245	AS601245
AT 101	
ATRA	
ATTAC	
AUY922	AUY922
AVASTIN	Bevacizumab
AVASTIN (BEVACIZUMAB)	Bevacizumab
AVASTIN/BEVACIZUMAB/PLACEBO	Bevacizumab
AXITINIB	Axitinib
AZ628	Sorafenib tosylate
AZD	
AZD 2281	Olaparib
AZD0530	saracatinib
AZD2281	Olaparib
AZD6244	Selumetinib
AZD6482	AZD6482
AZD7762	AZD7762
AZD8055	AZD8055
BA4 43 9006	Sorafenib
BAY-439006	Sorafenib
BAY613606	BAY613606
BCNU	Carmustine
BCNU (CARMUSTINE)	Carmustine
BEVACIZAMAB/PLACEBO	
BEVACIZUMAB	Bevacizumab
BEVACIZUMAB (AVASTIN)/PLACEBO PROVIDED BY STUDY	
BEVACIZUMAB AVASTIN	Bevacizumab
BEVACIZUMAB OR PLACEBO	
BEVACIZUMAB OR PLACEBO RTOG 0825	
BEVACIZUMAB VS PLACEBO	
BEVACIZUMIAB/ VERSUS PLACEBO	
BEVACOZIMAB	Bevacizumab
BEXAROTENE	Bexarotene
BI2536	BI2536
BIBW 2992	Afatinib
BIBW2992	Afatinib
BICALUTAMIDE	Bicalutamide
BID1870	BID1870
BIRB0796	BIRB0796
BISPHOPHONATE (ZOLEDRONIC ACID)	zoledronate
BLEOMYCIN	Bleomycin
BMS509744	BMS509744
BMS536924	BMS536924
BMS754807	BMS754807
BORTEZOMIB	Bortezomib
BOSUTINIB	Bosutinib
BROMO DEOXYURIDINE	Bromodeoxyuridine
BRYOSTATIN1	Bryostatin 1
BS1-201	Iniparib
BSI-201	Iniparib
BX795	BX795
CAI (NABTT 9712)	
CAI (NABTT 97212)	
CALCIUM FOLIATUM	Calcium Folate
CALCIUM FOLIATUM 420MG	Calcium Folate
CAMPTOSAR	Irinotecan
CAMPTOTHECIN	Camptothecin
CAPECETABINE	Capecitabine
CAPECITABIN	Capecitabine
CAPECITABINE	Capecitabine
CARBO	Carboplatin
CARBOBPLATIN	Carboplatin
CARBOPALTIN	Carboplatin
CARBOPLASTIN	Carboplatin
CARBOPLATIN	Carboplatin
CARBOPLATIN & PACLITAXEL	CARBOPLATIN & PACLITAXEL
CARBOPLATIN #1	Carboplatin
CARBOPLATIN 6TH	Carboplatin
CARBOPLATINUM	Carboplatin
CARBOXY AMIDO TRIAZOLE	Carboxyamidotriazole
CARBPLATIN	Carboplatin
CARMUSTIN	Carmustine
CARMUSTINE	Carmustine
CARMUSTINE (BCNU)	Carmustine
CARMUSTINE BCNU	Carmustine
CASODEX	Bicalutamide
CATUMAXUMAB	Catumaxomab
CAV TRIAL	
CBP501	CBP501
CCDP	Cisplatin
CCNG	CCNG
CCNU	CCNU
CDDP	Cisplatin
CEDIRANIB PLACEBO	
CELBREX	Celecoxib
CELEBREX	Celecoxib
CEP 11981	CEP11981
CEP701	Lestaurtinib
CEPECITABINE	CAPECITABINE  
CETUXIMAB	Cetuximab
CETUXIMEB	Cetuximab
CGP082996	CGP082996
CGP60474	CGP60474
CH81C6	CH81C6
CHIR99021	CHIR99021
CHLORAMBUCIL	Chlorambucil
CHLOROQUINE	Chloroquine
CI 980	CI-980
CI-980	CI-980
CI1040	CI-1040
CI980	CI-980
CILENAITIDE	Cilengitide
CILENGITIDE	Cilengitide
CIPLASTIN	Cisplatin
CIS RETINOIC ACID	Cis Retinoic Acid
CIS-RETINOIC ACID	Cis Retinoic Acid
CISPLASTIN	Cisplatin
CISPLATAIN	Cisplatin
CISPLATIN	Cisplatin
CISPLATIN #2-7	Cisplatin
CISPLATIN/GEMZAR	CISPLATIN/GEMZAR
CISPLATINUM	Cisplatin
CISPLATINUM 120MG	Cisplatin
CISTPLATIN	Cisplatin
CLINICAL TRIAL	
CLODRONATE	Clodronic acid
CLODRONIC ACID	Clodronic acid
CLORETAZINE	Cloretazine
CMK	KIN001-128
CPT 11	Irinotecan
CPT-11	Irinotecan
CPT11	Irinotecan
CRA	
CT2103 TAXANE ANALOG	CT-2103
CYCLOPAMINE	Cyclopamine
CYCLOPHASPHAMIDE	Cyclophosphamide
CYCLOPHOSPAMIDE	Cyclophosphamide
CYCLOPHOSPHAMID+METOTREKSAT+  FLUOROURACIL	Cyclophosphamide+Methotrexate+Fluorouracil
CYCLOPHOSPHAMIDE	Cyclophosphamide
CYOTXAN	Cyclophosphamide
CYTARABINE	Cytarabine
CYTOXAN	Cyclophosphamide
CYTOXAN AND TAXOTERE	Cyclophosphamide+Docetaxel
CYTOXEN	Cyclophosphamide
CYTOXIN	Cyclophosphamide
DACLIZUMAB	Daclizumab
DASATINIB	Dasatinib
DCVAX	
DECODRON	Dexamethasone
DENDRITICCELL VACCINE	
DEXAETHASONE	Dexamethasone
DEXAMETHASOME	Dexamethasone
DEXAMETHASONE	Dexamethasone
DEXAMETHASSONE	Dexamethasone
DEXAMETHAZONE	Dexamethasone
DEXAMETHSONE	Dexamethasone
DEXAMTHASONE	Dexamethasone
DEXMETHASONE	Dexamethasone
DMOG	Dimethyloxaloylglycine
DOCETAXEL	Docetaxel
DOCETOXEL/TAXOTERE	Docetaxel
DOXETAXEL	Docetaxel
DOXIL	Doxorubicin
DOXORIBICIN	Doxorubicin
DOXORUBICIN	Doxorubicin
DOXORUBICIN HCI LIIPOSOMAL	Doxorubicin
DOXORUBICIN HCI LIPSOME	Doxorubicin
DOXORUBICIN HCL	Doxorubicin
DOXORUBICIN HCL LIPOSOMAL	Doxorubicin
DOXORUBICIN HCL LIPOSOMAL -DOXIL	Doxorubicin
DOXORUBICIN+CYCLOPHOSPHAMID	Cyclophosphamide+Doxorubicin
DOXORUBICINE CYCLOPHOSPHAMIDE (ENDOXAN ADVIBLASTIN)	Cyclophosphamide+Doxorubicin
DOXORUBINCIN	Doxorubicin
DOXORUBINCIN HCL	Doxorubicin
E-75	
ELESCLOMOL	Elesclomol
EMBELIN	embelin
EMD	
EMD 121974	Cilengitide
ENZASTAURIN	Enzastaurin
EPIRUBICIN	Epirubicin
EPIRUBICINUM 70MG	Epirubicin
EPOTHILONEB	epothilone
ERBITUX	Cetuximab
ERLOTINIB	Erlotonib
ERLOTONIB	Erlotonib
ESTRAMUSTINE	Estramustine
ETOPOSDIE	Etoposide
ETOPOSIDE	Etoposide
ETOPOSIDE (VP16)	Etoposide
ETOPSIDE	Etoposide
EVEROLIMUS	Everolimus
EXEMESTANE	Exemestane
FARESTON	Toremifene
FASLODEX	Fulvestrant
FEMARA	Letrozole
FEMARA (LETROZOLE)	Letrozole
FENRETINIDE	Fenretinide
FH535	FH535
FILGRASTIM (G-CSF)	Filgrastim
FLOURORACIL	Fluorouracil
FLOUROURACIL	Fluorouracil
FLOXURIDINE	Floxuridine
FLUOROURACIL	Fluorouracil
FLUOROURACILUM	Fluorouracil
FLUOROURACILUM 2100MG	Fluorouracil
FOLFOX	Leucovorin+Fluorouracil+Oxaliplatin
FOLINIC ACID	Leucovorin
FOTEMUSTINA	Fotemustine
FOTEMUSTINE	Fotemustine
FT	Ftorafur
FTI277	FTI-277
FUDR (FLOXURIDINE)	Floxuridine
FULUESTRANT	Fulvestrant
FULVESTRANT	Fulvestrant
FULVESTRANT (FASLODEX)	Fulvestrant
GAMINOCAMPTOTHECIN	aminocamptothecin
GAMZAR	Gemcitabine
GDC0449	Vismodegib
GDC0941	GDC-0941
GEFITINIB	Gefitinib
GEMAR	Gemcitabine
GEMCITABIN	Gemcitabine
GEMCITABINE	Gemcitabine
GEMCITABINE HCI	Gemcitabine
GEMCITABINE HCL	Gemcitabine
GEMCITABINE/CISPLATIN	Gemcitabine+Cisplatin
GEMCITIBANE	Gemcitabine
GEMCITIBINE	Gemcitabine
GEMICITABINE	Gemcitabine
GEMICTIABINE	Gemcitabine
GEMZAN	Gemcitabine
GEMZAR	Gemcitabine
GEMZAR (GEMCITABINE)	Gemcitabine
GEMZET	Gemcitabine
GEZMAR	Gemcitabine
GLEEVAC	Imatinib
GLEEVEC	Imatinib
GLIADEL	Carmustine implant
GLIADEL BCNU	Carmustine implant
GLIADEL WAFER	Carmustine implant
GLIADEL WAFER (BCNU)	Carmustine implant
GLIADEL WAFER CARMUSTINE	Carmustine implant
GLIADEL WAFERS	Carmustine implant
GLIADEL WATERS	Carmustine implant
GLIADLE WAFER	Carmustine implant
GNF2	
GOG 218	
GOG182	
GOMZAR	Gemcitabine
GOSERELIN	GOSERELIN
GSK269962A	GSK269962A
GSK650394	GSK650394
GW441756	GW441756
GW843682X	GW843682X
HERCEPTIN	Trastuzumab
HERCPTIN	Trastuzumab
HEXALEN	Altretamine
HEXALIN	Altretamine
HEXAMETHYLMELAMINE	Altretamine
HEXAMETHYMELAMINE	Altretamine
HEXLALEN	Altretamine
HIGH DOSE INTERLEUKIN-2	Interleukin-2
HSPPC-96 VACCINE	
HYDOXYUREA	Hydroxycarbamide
HYDROCHOROQUINE	Hydroxychloroquine
HYDROXUREA	Hydroxycarbamide
HYDROXYUEREA	Hydroxycarbamide
HYDROXYUREA	Hydroxycarbamide
HYDROYUREA	Hydroxycarbamide
HYRDROXYUREA	Hydroxycarbamide
HYROXYUREA	Hydroxycarbamide
I-131	Iodine-131
ICT-107	ICT-107
IFN-ALPHA (INTRON)	Hydroxycarbamide
IFOSFAMIDE	Ifosfamide
IFOSTAMIDE	Ifosfamide
IL 12	INTERLEUKIN-12
IL 13	INTERLEUKIN-13
IL 2	INTERLEUKIN-2
IL-13 PSEUDOMONAS EXOTOXIN	IL-13 WITH PSEUDOMONAS EXOTOXIN
IL-13 WITH PSEUDOMONAS EXOTOXIN	IL-13 WITH PSEUDOMONAS EXOTOXIN
IL-13-PE38QQR CYTOXIN	IL-13 WITH PSEUDOMONAS EXOTOXIN
IL-13PE	IL-13 WITH PSEUDOMONAS EXOTOXIN
IL-2	INTERLEUKIN-2
IL-2 (HIGH DOSE)	INTERLEUKIN-2
IL-2 THEARPY (INTERLEUKIN)	INTERLEUKIN-2
IMATINIB	Imatinib
INTERFERON	INTERFERON
INTERFERON ALPHA	INTERFERON ALPHA
INTERFERON GAMMA	INTERFERON GAMMA
INTERFERON-ALPHA	INTERFERON ALPHA
INTERLEUKIN 2-HIGH DOSE	INTERLEUKIN-2
INTERLEUKIN-12	INTERLEUKIN-12
INTERLEUKIN-2	INTERLEUKIN-2
INTRON A	
INVESTIGAL DRUG AVASTIN	Bevacizumab
IPA3	
IPILIMUMAB	Ipilimumab
IRESSA	Gefitinib
IRESSA PLACEBO VS. DRUG	Gefitinib
IRINOTEACAN	Irinotecan
IRINOTECAN	Irinotecan
IRINOTECAN HCL	Irinotecan
IRINTOTECAN	Irinotecan
IROLFLUVIN	Irolfluvin
IRONOTECAN	Irinotecan
IRRESSA	Gefitinib
IRUNOTECAN	Irinotecan
ISOTRECTINOIN (ACCCUTANE)	Isotretinoin
ISOTRETINOIN	Isotretinoin
JNK9L	
JNKINHIBITORVIII	
JW7521	JW7521
KARERLTECIN	karenitecin
KETOCONAZOLE	Ketoconazole
KIN001135	KIN001135
KU55933	KU55933
L685458	
LAPATINIB	LAPATINIB
LBW242	
LENALIDOMIDE	Lenalidomide
LETROZOLE	Letrozole
LETROZOLE (FEMARA)	Letrozole
LEUCOVORIN	Leucovorin
LEUCOVORIN CALCIUM	Leucovorin
LEUPROLIDE ACETATE (LUPRON)	Leuprolide
LEUPRORELIN	Leuprorelin
LEVCOVORIN	Leucovorin
LEVENRACETAM	Levetiracetam
LEVETIRACETAM	Levetiracetam
LFMA13	LFMA13
LIOSOMAL DOCORUBICIN	Liposomal doxorubicin
LIPOSOMAL DOXORUBICAN	Liposomal doxorubicin
LIPOSOMAL DOXORUBICIN	Liposomal doxorubicin
LOMUSTIN	Lomustine
LOMUSTINE	Lomustine
LUMUSTINE	Lomustine
LUPRON	Leuprolide
LY317615	Enzastaurin
MAB I 131	MABI131
MAB I-131	MABI131
MAB I131	MABI131
MABI131	MABI131
MAGI131-81C6	MABI131
MARIMASTAT	Marimastat
MDX-1106 CLINICAL TRIAL	MDX-1106 
MEGACE	Megestrol
MEGACE (ORAL)	Megestrol
MELPHALAN	Melphalan
MELPHALON	Melphalan
METEXAFIN GADOLINIUM	MOTEXAFIN GADOLINIUM
METFORMIN	Metformin
METHOTREXATE	Methotrexate
METRONOMIC TEMODAR	Temozolomide
MG132	MG132
MGI 114	MGI-114
MIDOSTAURIN	Midostaurin
MITHRAMYCIN	Plicamycin
MITOMYCIN C	Mitomycin
MITOMYCINC	Mitomycin
MITOXANTRONE	Mitoxantrone
MK2206	MK-2206
MOTEXAFIN GADOLINIUM	Motexafin gadolinium
MOTEXATIN GADOINIUM	Motexafin gadolinium
MS275	Entinostat
MU81C6	MU81C6
NAB-RAPAMYCIN	Rapamycin
NAVELBINE	Vinorelbine
NEULASTA	Pegfilgrastim
NEXAVAAR	Sorafenib
NEXAVAR	Sorafenib
NILOTINIB	Nilotinib
NOLVADEX	Tamoxifen
NOT KNOWN	
NSC87877	NSC87877
NU7441	NU7441
NUTLIN3	
NUTLIN3A	Nutlin-3A
NVPBEZ235	NVPBEZ235
NVPTAE684	NVPTAE684
O6BG	O6BG
OBATOCLAXMESYLATE	Obatoclax mesylate
OCA REX OREGOVOMAB	
ONCOPHAGE	
ONCOPHAGE VACCINE	
ORAL ETOPOSIDE	Etoposide
OS1-774	Tarceva
OSI906	Linsitinib
OVAREX MA6 B43.13	ovarex
OVAREX STUDY	ovarex
OVAREX/IND	ovarex
OVAREX/PLACEBO	ovarex
OXALIPLATIN	Oxaliplatin
OXALIPLATINUM	Oxaliplatin
OXCARBAZEPINE	Oxcarbazepine
PAC1	
PACILATXEL	Paclitaxel
PACILTAXAL	Paclitaxel
PACILTAXEL	Paclitaxel
PACILTAXLE	Paclitaxel
PACITAXEL	Paclitaxel
PACLIATXEL	Paclitaxel
PACLILTAXEL	Paclitaxel
PACLITAXEL	Paclitaxel
PACLITAXEL (PROTEIN-BOUND)	Paclitaxel
PACLITAXEL; ALBUMIN-BOUNT	Paclitaxel
PACLITAXIL	Paclitaxel
PANITUMUMAB	Panitumumab
PANOBINOSTAT	
PANZEM	Panzem
PARAPLATIN	PARAPLATIN
PARTHENOLIDE	Parthenolide
PATUPILONE	PATUPILONE
PAXLITAXEL	Paclitaxel
PAZOPANIB	Pazopanib
PC2	
PCB	
PCV	
PD0325901	PD0325901
PD0332991	PD0332991
PD173074	PD173074
PEGFILGRASTIM	Pegfilgrastim
PEGFILGRASTIM (PEG G-CSF)	Pegfilgrastim
PEMETHEXED	Pemetrexed
PEMETREXED	Pemetrexed
PEMETREXED DISODIUM	Pemetrexed
PEP3 KLH	PEP-3-KLH
PERIFOSINE	Perifosine
PF02341066	crizotinib
PF2341066	crizotinib
PF562271	PF562271
PHA665752	PHA665752
PHENYTOIN SODIUM	PHENYTOIN SODIUM
PLX4720	PLX4720
POLY LCLC	
PREDNISONE	Prednisone
PREMETREXED	Pemetrexed
PROCARBAZINE	Procarbazine
PROCARBAZINE/CCNU/VINCRISTINE	Procarbazine
PROCARBIZINE	Procarbazine
PROLEUKIN	Proleukin
PROLEUKIN (IL-2)	Proleukin
PROVERA	Medroxyprogesterone
PS 341	Bortezomib
PS-341 BORTREZOMIB	Bortezomib
PSC833	PSC833
PSMA DNA VACCINE	
PYRAZINAMIDE	Pyrazinamide
PYRIMETHAMINE	Pyrimethamine
QS11	
RAD001	Everolimus
RAF265	
RAPAMCYIN	Sirolimus
RAPAMYCIN	Sirolimus
RAS INHIBITOR	
RBBX 01	RBBX 01
RDEA119	RDEA119
REC MAGE 3-AS + AS15 ACS1 / PLACEBO VACCINE	
RECENTIN PLACEBO AXDX2171	
REINOID/CIS RETINOIC ACID	Cis Retinoic Acid
RHUMAB/IND	
RO3306	RO3306
ROFERON-A	ROFERON-A
ROSCOVITINE	Seliciclib
SAHA	Vorinostat
SALUBRINAL	Salubrinal
SARASAR	SARASAR
SARGRAMOSTIN	SARGRAMOSTIN
SB216763	SB216763
SB590885	SB590885
SCH 58500	SCH58500
SCH63666	SCH63666
SCH66336	Lonafarnib
SCH6636	SCH6636
SHIKONIN	Shikonin
SIROLIMUS	Sirolimus
SL01011	SL01011
SNS 595	Voreloxin
SORAFENIB	Sorafenib
SORAFENIB - NEXAVAR	Sorafenib
SORAFENIB (BAY 43-9006)	Sorafenib
SOVATENIB	Sorafenib
STREPTOZOCIN	STREPTOZOCIN
STRITYLLCYSTEINE	STRITYLLCYSTEINE
STUDY DRUG AMG 655	NA
SUNITINIB	Sunitinib
SUNITINIB (SUTENT)	Sunitinib
SURAMIN	SURAMIN
SUTENT	Sunitinib
SUTENT (SUNITINIB)	Sunitinib
TAE684	NA
TAMOXIFEN	Tamoxifen
TAMOXIFEN (NOVADEX)	Tamoxifen
TAMOXIFEN & MEGACE	NA
TAMOXITEN	Tamoxifen
TANCEVA	Erlotinib
TARCEVA	Erlotinib
TARVECA	Erlotinib
TAXANE	NA
TAXOL	Paclitaxel
TAXOL OR TAXOTERE	NA
TAXOL/CARBOPLATIN	Paclitaxel+Carboplatin
TAXOTERE	Docetaxel
TAXOTERECIN	Docetaxel
TC	Docetaxel+Cyclophosphamide
TEMADOR	Temozolomide
TEMAZOLOMIDE	Temozolomide
TEMODAR	Temozolomide
TEMODAR (ESCALATION)	Temozolomide
TEMODOR	Temozolomide
TEMOXOLOMIDE	Temozolomide
TEMOZLOMIDE	Temozolomide
TEMOZOLAMIDE	Temozolomide
TEMOZOLOMIDE	Temozolomide
TEMOZOLOMOIDE	Temozolomide
TEMOZOMIDE	Temozolomide
TEMSIROLIMUS	Temsirolimus
TEMUDAR	Temozolomide
term	
THALIDOMIDE	Thalidomide
THALOMID	Thalidomide
THAPSIGARGIN	THAPSIGARGIN
TIPFARNIB (R115777)	Tipifarnib
TIPIFARNIB	Tipifarnib
TIPIFARNIB (R115777)	Tipifarnib
TKI258	
TOMAXIFEN	Tamoxifen
TOPECAN	TOPOTECAN
TOPETECAN	TOPOTECAN
TOPOTECAN	TOPOTECAN
TOPOTECAN HCL	TOPOTECAN
TOPOTECAN/CARBOPLATIN	TOPOTECAN+CARBOPLATIN
TOPTECAN	TOPOTECAN
TORISEL	Temsirolimus
TOXOTERE	Docetaxel
TRABECTEDIN	Trabectedin
TRANSTUZUMAB	TRASTUZUMAB
TRASTUZUMAB	TRASTUZUMAB
TRIPTORELIN	Triptorelin
TUMOR VACCINE	
UNKNOWN	
VALPROIC ACID	VALPROIC ACID
VAMYDEX	VAMYDEX
VANDETANIB	Vandetanib
VATALANIB (PTK787)	Vatalanib
VECTIBIX	Panitumumab
VELCADE	Bortezomib
VINBLASTINE	VINBLASTINE
VINCRISTIN	Vincristine
VINCRISTINE	Vincristine
VINORELBINE	Vinorelbine
VINORELBINE TARTRATE	Vinorelbine
VORINOSTAT	Vorinostat
VOTRIENT	Pazopanib
VP 16	Etoposide
VP 16 (ETOPOSIDE)	Etoposide
VP-16	Etoposide
VP16	Etoposide
VX680	VX680
VX702	VX702
WH4023	WH4023
WZ184	WZ184
X17AAG	X17AAG
X681640	X681640
XELODA	Capecitabine
XELODA (CAPECITABINE)	Capecitabine
XL 184	
XMD885	XMD885
XYOTAX	paclitaxel poliglumex
ZD6474	Vandetanib
ZLLNLECHO	
ZM447439	ZM447439
ZOLADEX	goserelin
ZOLEDRONIC ACID	zoledronate
ZOLENDRONIC ACID	zoledronate
ZOMETA	ZOMETA
